location,company,Data,Pay,
충남," 모다아울렛천안",11:00~21:00,"월급2,000,000",2시간전
경기," 북부천 나이키",11:00~22:00,"월급2,030,000",14분전
서울," 대연 조던서울",10:30~22:00,"월급2,030,000",1시간전
경기," (주)대연",시간협의,"시급9,000",1시간전
충남," 모다아울렛천안",11:00~21:00,"월급2,000,000",14시간전
인천," 아이즈빌1",시간협의,"월급2,030,000",3시간전
인천," LF스퀘어(브이플러스) 나이키 연수점",10:30~21:00,"월급1,980,000",3시간전
대구," 신세계 동대구",11:00~14:30,"시급8,720",4시간전
충남," 갤러리아 센터시티 나이키",10:00~20:00,"월급1,980,000",4시간전
강원," (주)대연",10:30~21:30,"월급2,030,000",5시간전
인천," LF스퀘어(브이플러스) 나이키 연수점",10:30~21:00,"월급1,980,000",5시간전
경남," 갤러리아 진주 나이키",10:00~20:30,"월급1,980,000",5시간전
경기," 스타필드 하남 나이키",10:00~22:00,"월급2,050,000",5시간전
광주," 신세계 광주FS",10:00~20:30,"월급1,980,000",5시간전
충남," 모다아울렛천안",11:00~21:00,"월급2,000,000",6시간전
서울," 신세계 명동",09:30~20:00,"월급1,980,000",7시간전
대전," 대전 유성",시간협의,"월급2,030,000",7시간전
인천," 아이즈빌1",시간협의,"월급2,030,000",7시간전
충남," 갤러리아 센터시티 나이키",10:00~20:00,"월급1,980,000",06/24
경기," (주)대연",14:00~22:00,"시급8,720",06/18
인천," 부평",10:30~22:00,"월급2,030,000",06/26
경남," 갤러리아 진주 나이키",10:00~20:30,"월급1,980,000",06/26
경기," 스타필드 하남 나이키",10:00~22:00,"월급2,050,000",06/26
경기," 신세계 죽전",09:30~20:30,"월급1,980,000",06/25
경기," 스타필드 하남 나이키",10:00~22:00,"월급2,050,000",06/24
서울," 대연 조던서울",10:30~22:00,"월급2,030,000",06/24
충남," 모다아울렛천안",11:00~21:00,"월급2,000,000",06/24
서울," (주)대연",시간협의,"시급9,000",06/24
서울," 신세계 명동",09:30~20:00,"월급1,980,000",06/24
광주," (주)대연",10:30~21:00,"월급1,980,000",06/23
경기," 스타필드 하남 나이키",10:00~22:00,"월급2,050,000",06/23
인천," 아이즈빌1",시간협의,"월급2,030,000",06/23
경기," 스타필드 신세계 하남 나이키",시간협의,"월급2,050,000",06/23
경기," (주)대연",시간협의,"시급9,000",06/23
경기," 제이디스포츠패션코리아 스타필드안성점(",13:00~22:00,"월급1,822,480",3시간전
경기," 제이디스포츠패션코리아 스타필드안성점(",13:00~22:00,"월급1,822,480",3시간전
경기," 제이디스포츠패션코리아 스타필드안성점(",13:00~22:00,"월급1,822,480",3시간전
경기," 제이디스포츠패션코리아 스타필드안성점(",13:00~22:00,"월급1,822,480",3시간전
서울," (주)대연",09:30~20:00,"월급1,980,000",06/14
서울," (주)대연",시간협의,"시급9,000",06/17
광주," 신세계 광주FS",10:00~20:30,"월급1,980,000",06/17
서울," 대연 조던서울",10:30~22:00,"월급2,030,000",06/15
서울," 대연 조던 홍대",11:00~22:30,"월급2,100,000",06/21
경기," 스타필드 하남 나이키",10:00~22:00,"월급2,050,000",06/22
경기," 부천스타필드나이키",10:00~22:00,"월급2,050,000",06/22
서울," 대연 조던 홍대",11:00~22:30,"월급2,110,000",06/20
경기," (주)대연",10:00~22:00,"월급2,050,000",06/18
서울," (주)호텔신라",시간협의,"월급2,022,480",06/20
서울," 대연 조던 홍대",11:00~22:30,"월급2,110,000",06/13
서울," 제이디스포츠패션코리아 동탄센터포인트몰",14:30~22:00,"시급9,040",2시간전
서울," (주)파리크라상 스트릿 스퀘어점",시간협의,"시급8,720",06/26
서울," 제이디스포츠패션코리아 동탄센터포인트몰",14:30~22:00,"시급9,040",06/24
서울," 제이디스포츠패션코리아 강남점(직)",14:30~22:00,"시급9,040",06/24
서울," 제이디스포츠패션코리아 동탄센터포인트몰",14:30~22:00,"시급9,040",06/24
서울," 제이디스포츠패션코리아 강남점(직)",14:30~22:00,"시급9,040",06/24
경기," 제이디스포츠패션코리아 스타필드안성점(",13:00~22:00,"월급1,822,480",3시간전
서울," 제이디스포츠패션코리아 강남점(직)",13:00~22:00,"월급1,822,480",06/24
서울," (주)호텔신라",시간협의,"월급2,022,480",06/20
서울," 제이디스포츠패션코리아 강남점(직)",14:30~22:00,"시급9,040",06/26
대구," 제이디스포츠패션코리아 동성로중앙점(직",10:00~20:00,"시급9,040",06/21
서울," 제이디스포츠패션코리아 파르나스몰점",14:30~22:00,"시급9,040",5시간전
경기," 제이디스포츠패션코리아 현대백화점판교점",12:30~20:00,"시급9,040",7시간전
충북," 제이디스포츠패션코리아 청주성안점(직)",02:00~22:00,"시급9,040",9시간전
인천," 제이디스포츠패션코리아 인천스퀘어원점(",13:30~21:30,"시급9,040",12시간전
서울," 제이디스포츠패션코리아 강남점(직)",14:30~22:00,"시급9,040",13시간전
제주," 제이디스포츠패션코리아 제주칠성점(직)",13:00~22:00,"월급1,822,480",13시간전
제주," 제이디스포츠패션코리아 제주칠성점(직)",13:00~22:00,"월급1,822,480",06/26
서울," (주)호텔신라",시간협의,"월급2,022,480",06/18
인천," 제이디스포츠패션코리아 인천구월점(직)",10:30~18:30,"시급9,040",06/16
서울," 크라운호프 석계역점",시간협의,"시급9,000",1시간전
서울," 피그인더가든",시간협의,"시급8,720",06/26
인천," 크라운호프 인하대역",20:00~00:30,"시급8,720",4시간전
충북," 제이디스포츠패션코리아 청주성안점(직)",02:00~22:00,"시급9,040",3시간전
대구," 제이디스포츠패션코리아 동성로중앙점(직",10:00~20:00,"시급9,040",06/20
서울," 제이디스포츠패션코리아 롯데몰김포공항점",13:00~22:00,"월급1,822,480",06/26
광주," 크라운호프 봉선점",21:00~01:00,"시급9,000",2시간전
울산," 크라운호프 울산장현",18:00~24:00,"시급10,000",2시간전
